Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Nursing and midwifery personnel density (per 1000 population),Published,1990,Americas,Saint Kitts and Nevis,6.902,6.902,,,<b>Nursing and midwifery personnel: </b>Includes nurses and nurse assistants. Data for St. Kitts only.</br><b> Country: </b>Saint Kitts and Nevis</br><b>Year: </b>1990</br><b>Value:</b>6.902</br><b> Data Source:</b> Ministry of Health
Physicians density (per 1000 population),Published,2001,Eastern Mediterranean,Saudi Arabia,0.634,0.634,,,
Environmental and public health workers density (per 1000 population),Published,2005,Africa,Ghana,0.139,0.139,,,
Dentistry personnel density density (per 1000 population),Published,2009,Africa,Central African Republic,0.003,0.003,,,
Other health workers density (per 1000 population),Published,2002,Western Pacific,Japan,2.1656,2.1656,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Rwanda,1.48,1.48,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Ecuador,0.17,0.17,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Latvia,0.662,0.662,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Barbados,5.896,5.896,,,Includes only nurses
Health management & support workers density (per 1000 population),Published,2008,Africa,Gambia,0.174,0.174,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,South-East Asia,Thailand,1.268,1.268,,,Includes only nurses
Physicians density (per 1000 population),Published,1995,Americas,Saint Kitts and Nevis,1.045,1.045,,,
Other health workers density (per 1000 population),Published,2005,Americas,Chile,0.38,0.38,,,
Environmental and public health workers density (per 1000 population),Published,2004,South-East Asia,Sri Lanka,0.08,0.08,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Kuwait,0.259,0.259,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2005,Africa,Ghana,0.043,0.043,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Niue,1,1,,,
Other health workers density (per 1000 population),Published,2010,Americas,Guyana,0.103,0.103,,,
Environmental and public health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Yemen,0.04,0.04,,,
Dentistry personnel density density (per 1000 population),Published,2010,Africa,Kenya,0.023,0.023,,,
Other health workers density (per 1000 population),Published,2006,Americas,Grenada,3.788,3.788,,,
Physicians density (per 1000 population),Published,1995,Western Pacific,Nauru,1.45,1.45,,,
Dentistry personnel density density (per 1000 population),Published,2001,Eastern Mediterranean,Jordan,0.554,0.554,,,
Laboratory health workers density (per 1000 population),Published,2007,Americas,Cuba,0.954,0.954,,,
Laboratory health workers density (per 1000 population),Published,2005,Americas,Canada,0.62,0.62,,,
Dentistry personnel density density (per 1000 population),Published,2007,South-East Asia,Bhutan,0.0287,0.0287,,,
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Lebanon,3.254,3.254,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Namibia,0.043,0.043,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Kenya,0.06,0.06,,,
Pharmaceutical personnel density (per 1000 population),Published,1990,Europe,Croatia,0.384,0.384,,,Includes only pharmacists
Other health workers density (per 1000 population),Published,2011,South-East Asia,Bangladesh,0.053,0.053,,,
Health management & support workers density (per 1000 population),Published,2006,Africa,Burkina Faso,0.009,0.009,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Africa,Malawi,0.343,0.343,,,
Nursing and midwifery personnel density (per 1000 population),Published,1997,Africa,Chad,0.05,0.05,,,
Dentistry personnel density density (per 1000 population),Published,2009,Europe,Sweden,0.816,0.816,,,
Dentistry personnel density density (per 1000 population),Published,2002,Eastern Mediterranean,Syrian Arab Republic,0.841,0.841,,,Includes only dentists
Other health workers density (per 1000 population),Published,2005,Eastern Mediterranean,Somalia,0.063,0.063,,,
Physicians density (per 1000 population),Published,2007,South-East Asia,Bhutan,0.063,0.063,,,
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Kuwait,0.33,0.33,,,Includes only dentists
Physicians density (per 1000 population),Published,2010,Europe,Bosnia and Herzegovina,1.694,1.694,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Bosnia and Herzegovina </br><b>Year: </b>2010</br><b>Value:</b>1.694</br><b> Data Source:</b> Health for all database, WHO/EURO "
Community and traditional health workers density (per 1000 population),Published,2008,Africa,Ghana,0.192,0.192,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,South-East Asia,India,1.39,1.39,,,
Laboratory health workers density (per 1000 population),Published,2006,Eastern Mediterranean,Oman,0.692,0.692,,,
Environmental and public health workers density (per 1000 population),Published,1992,South-East Asia,Indonesia,0.03,0.03,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Western Pacific,Kiribati,0.0232,0.0232,,,
Physicians density (per 1000 population),Published,2003,South-East Asia,India,0.59,0.59,,,
Dentistry personnel density density (per 1000 population),Published,2010,Africa,Mali,0.007,0.007,,,
Physicians density (per 1000 population),Published,2000,Africa,Chad,0.03,0.03,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Americas,Trinidad and Tobago,3.562,3.562,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Solomon Islands,0.17,0.17,,,
Environmental and public health workers density (per 1000 population),Published,2001,Americas,Saint Vincent and the Grenadines,0.568,0.568,,,
Other health workers density (per 1000 population),Published,2004,Africa,Botswana,0.46,0.46,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Panama,0.86,0.86,,,
Dentistry personnel density density (per 1000 population),Published,1991,Americas,Brazil,0.67,0.67,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2002,Americas,Chile,0.11,0.11,,,
Physicians density (per 1000 population),Published,2007,Europe,Turkey,1.442,1.442,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Tunisia,1.34,1.34,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Fiji,2.24,2.24,,,
Pharmaceutical personnel density (per 1000 population),Published,2001,South-East Asia,Thailand,0.111,0.111,,,Includes only pharmacists
Other health workers density (per 1000 population),Published,1991,Europe,Turkey,0.406,0.406,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Uganda,0.03,0.03,,,
Nursing and midwifery personnel density (per 1000 population),Published,2002,Africa,Botswana,2.342,2.342,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Botswana </br><b>Year: </b>2002</br><b>Value:</b>2.342</br><b> Data Source:</b> Central Statistics Office
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Congo,0.03,0.03,,,
Laboratory health workers density (per 1000 population),Published,2005,Eastern Mediterranean,Somalia,0.022,0.022,,,
Community and traditional health workers density (per 1000 population),Published,1990,Americas,Saint Kitts and Nevis,0.415,0.415,,,
Physicians density (per 1000 population),Published,1995,Europe,Lithuania,4.136,4.136,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Western Pacific,Nauru,4.8461,4.8461,,,
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Cyprus,0.876,0.876,,,
Physicians density (per 1000 population),Published,1993,Europe,Hungary,3.318,3.318,,,
Dentistry personnel density density (per 1000 population),Published,2001,Eastern Mediterranean,Saudi Arabia,0.069,0.069,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2005,South-East Asia,Bangladesh,0.148,0.148,,,
Environmental and public health workers density (per 1000 population),Published,2010,Americas,Cuba,0.25,0.25,,,
Other health workers density (per 1000 population),Published,2004,Americas,Argentina,2.046,2.046,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Bosnia and Herzegovina,5.167,5.167,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Bosnia and Herzegovina </br><b>Year: </b>2010</br><b>Value:</b>5.167</br><b> Data Source:</b> Health for all database, WHO/EURO "
Pharmaceutical personnel density (per 1000 population),Published,2002,Western Pacific,Japan,1.8022,1.8022,,,
Physicians density (per 1000 population),Published,2003,Americas,Canada,2.14,2.14,,,
Health management & support workers density (per 1000 population),Published,2005,Africa,Guinea,0.05,0.05,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Gabon,0.2,0.2,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Lithuania,7.064,7.064,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Lithuania </br><b>Year: </b>2010</br><b>Value:</b>7.064</br><b> Data Source:</b> Health for all database, WHO/EURO "
Dentistry personnel density density (per 1000 population),Published,2005,Africa,Uganda,0.015,0.015,,,
Dentistry personnel density density (per 1000 population),Published,2003,Americas,Colombia,0.78,0.78,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2005,Africa,Zambia,0.005,0.005,,,
Pharmaceutical personnel density (per 1000 population),Published,1999,Western Pacific,Fiji,0.07,0.07,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Cameroon,0.04,0.04,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Cook Islands,6.44,6.44,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Madagascar,0.02,0.02,,,Includes only dentists
Physicians density (per 1000 population),Published,2006,Americas,United States of America,2.4,2.4,,,
Community and traditional health workers density (per 1000 population),Published,2004,South-East Asia,Maldives,2.8,2.8,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Botswana,2.531,2.531,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Belgium,15.784,15.784,,,"<b>Nursing and midwifery personnel: </b>Includes nurses and midwives. WHS13 reports 233109 which includes nurses, midwives and personal care workers.</br><b> Country: </b>Belgium </br><b>Year: </b>2010</br><b>Value:</b>15.784</br><b> Data Source:</b> Serv"
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Algeria,0.243,0.243,,,
Other health workers density (per 1000 population),Published,2004,Africa,Ghana,0.33,0.33,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Africa,Burundi,0.02,0.02,,,
Dentistry personnel density density (per 1000 population),Published,2008,Africa,Benin,0.004,0.004,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Niger,0.019,0.019,,,
Physicians density (per 1000 population),Published,1993,South-East Asia,Maldives,0.292,0.292,,,
Health management & support workers density (per 1000 population),Published,2002,Americas,Canada,0.0775,0.0775,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Mauritius,0.19,0.19,,,
Health management & support workers density (per 1000 population),Published,2009,Africa,Zambia,0.071,0.071,,,
Physicians density (per 1000 population),Published,1997,Eastern Mediterranean,Yemen,0.234,0.234,,,
Other health workers density (per 1000 population),Published,2004,South-East Asia,Timor-Leste,0.02,0.02,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Ethiopia,0.019,0.019,,,
Pharmaceutical personnel density (per 1000 population),Published,1996,Western Pacific,Japan,1.5443,1.5443,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Brazil,1.11,1.11,,,
Other health workers density (per 1000 population),Published,2008,Europe,Turkey,1.176,1.176,,,
Other health workers density (per 1000 population),Published,2004,Western Pacific,Republic of Korea,3.58,3.58,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Western Pacific,Vanuatu,1.6589,1.6589,,,
Dentistry personnel density density (per 1000 population),Published,2011,Europe,France,0.643,0.643,,,
Other health workers density (per 1000 population),Published,2002,South-East Asia,Bangladesh,0.004,0.004,,,
